Point0: deltaX:[ 1.70558 , 0.833838 ] cosTheta:[0.0486583] ui:[ 1.875 , 0.916667 ] sigma:[0.781197]
Point1: deltaX:[ 1.55538 , 0.355515 ] cosTheta:[0.0237631] ui:[ 1.59091 , 0.363636 ] sigma:[0.769105]
Point2: deltaX:[ 1.63636 , 0.272727 ] cosTheta:[3.34619e-17] ui:[ 1.63636 , 0.272727 ] sigma:[0.804388]
Point3: deltaX:[ 1.44 , 0 ] cosTheta:[0] ui:[ 1.44 , 0 ] sigma:[0.769483]
Point4: deltaX:[ 1.44 , 0 ] cosTheta:[0] ui:[ 1.44 , 0 ] sigma:[0.769483]
Point5: deltaX:[ 1.44 , 0 ] cosTheta:[0] ui:[ 1.44 , 0 ] sigma:[0.769483]
Point6: deltaX:[ 1.44 , 0 ] cosTheta:[0] ui:[ 1.44 , 0 ] sigma:[0.769483]
Point7: deltaX:[ 1.44 , 0 ] cosTheta:[0] ui:[ 1.44 , 0 ] sigma:[0.769483]
Point8: deltaX:[ 1.44 , 0 ] cosTheta:[0] ui:[ 1.44 , 0 ] sigma:[0.769483]
Point9: deltaX:[ 1.44 , 0 ] cosTheta:[0] ui:[ 1.44 , 0 ] sigma:[0.769483]
Point10: deltaX:[ 1.44 , 0 ] cosTheta:[0] ui:[ 1.44 , 0 ] sigma:[0.769483]
Point11: deltaX:[ 1.44 , 0 ] cosTheta:[0] ui:[ 1.44 , 0 ] sigma:[0.769483]
Point12: deltaX:[ 1.44 , 0 ] cosTheta:[0] ui:[ 1.44 , 0 ] sigma:[0.769483]
Point13: deltaX:[ 1.44 , 0 ] cosTheta:[0] ui:[ 1.44 , 0 ] sigma:[0.769483]
Point14: deltaX:[ 0.86494 , -0.152637 ] cosTheta:[0.115754] ui:[ 1.47826 , -0.26087 ] sigma:[0.744738]
Point15: deltaX:[ 1.22933 , -0.597104 ] cosTheta:[0.0802863] ui:[ 1.59091 , -0.772727 ] sigma:[0.722675]
Point16: deltaX:[ 1.67568 , -1.02176 ] cosTheta:[0.0515536] ui:[ 1.86364 , -1.13636 ] sigma:[0.782721]
Point17: deltaX:[ 1.33231 , 1.11742 ] cosTheta:[0.0170135] ui:[ 1.34783 , 1.13043 ] sigma:[0.758327]
Point18: deltaX:[ 1.47814 , 0.999915 ] cosTheta:[0.00145753] ui:[ 1.47826 , 1 ] sigma:[0.784957]
Point19: deltaX:[ 0.804213 , 0.306367 ] cosTheta:[0.0329914] ui:[ 0.84 , 0.32 ] sigma:[0.669036]
Point20: deltaX:[ 0.590909 , 0 ] cosTheta:[0] ui:[ 0.590909 , 0 ] sigma:[0.649364]
Point21: deltaX:[ 0.590909 , 0 ] cosTheta:[0] ui:[ 0.590909 , 0 ] sigma:[0.649364]
Point22: deltaX:[ 0.590909 , 0 ] cosTheta:[0] ui:[ 0.590909 , 0 ] sigma:[0.649364]
Point23: deltaX:[ 0.590909 , 0 ] cosTheta:[0] ui:[ 0.590909 , 0 ] sigma:[0.649364]
Point24: deltaX:[ 0.590909 , 0 ] cosTheta:[0] ui:[ 0.590909 , 0 ] sigma:[0.649364]
Point25: deltaX:[ 0.590909 , 0 ] cosTheta:[0] ui:[ 0.590909 , 0 ] sigma:[0.649364]
Point26: deltaX:[ 0.590909 , 0 ] cosTheta:[0] ui:[ 0.590909 , 0 ] sigma:[0.649364]
Point27: deltaX:[ 0.590909 , 0 ] cosTheta:[0] ui:[ 0.590909 , 0 ] sigma:[0.649364]
Point28: deltaX:[ 0.590909 , 0 ] cosTheta:[0] ui:[ 0.590909 , 0 ] sigma:[0.649364]
Point29: deltaX:[ 0.590909 , 0 ] cosTheta:[0] ui:[ 0.590909 , 0 ] sigma:[0.649364]
Point30: deltaX:[ 0.590909 , 0 ] cosTheta:[0] ui:[ 0.590909 , 0 ] sigma:[0.649364]
Point31: deltaX:[ 0.590909 , 0 ] cosTheta:[0] ui:[ 0.590909 , 0 ] sigma:[0.649364]
Point32: deltaX:[ 0.590909 , 0 ] cosTheta:[0] ui:[ 0.590909 , 0 ] sigma:[0.649364]
Point33: deltaX:[ 0.657823 , -0.450089 ] cosTheta:[0.0754594] ui:[ 0.826087 , -0.565217 ] sigma:[0.630453]
Point34: deltaX:[ 1.51904 , -0.911426 ] cosTheta:[0.0066585] ui:[ 1.52174 , -0.913043 ] sigma:[0.800584]
Point35: deltaX:[ 1.40168 , -1.13039 ] cosTheta:[0.0114817] ui:[ 1.40909 , -1.13636 ] sigma:[0.78105]
Point36: deltaX:[ 1 , 1.27273 ] cosTheta:[6.8592e-17] ui:[ 1 , 1.27273 ] sigma:[0.781528]
Point37: deltaX:[ 1 , 1.27273 ] cosTheta:[6.8592e-17] ui:[ 1 , 1.27273 ] sigma:[0.781528]
Point38: deltaX:[ 0.347826 , 0.347826 ] cosTheta:[0] ui:[ 0.347826 , 0.347826 ] sigma:[0.61418]
Point39: deltaX:[ 0.0869565 , 0.0869565 ] cosTheta:[2.82126e-16] ui:[ 0.0869565 , 0.0869565 ] sigma:[0.545541]
Point40: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point41: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
