iter:1   sigmaHat = 0.621128
iter:2   sigmaHat = 0.66281
iter:3   sigmaHat = 0.698886
iter:4   sigmaHat = 0.734876
iter:5   sigmaHat = 0.768714
iter:6   sigmaHat = 0.79978
iter:7   sigmaHat = 0.830428
iter:8   sigmaHat = 0.858095
iter:9   sigmaHat = 0.879616
iter:10   sigmaHat = 0.886106
iter:11   sigmaHat = 0.888442
iter:12   sigmaHat = 0.890855
iter:13   sigmaHat = 0.890935
iter:14   sigmaHat = 0.890958
iter:15   sigmaHat = 0.890958
iter:16   sigmaHat = 0.890958
iter:17   sigmaHat = 0.890958
iter:18   sigmaHat = 0.890958
iter:19   sigmaHat = 0.890958
iter:20   sigmaHat = 0.890958
20's current detail factor = 2
