area:11200
k = 21
Point0: deltaX:[ 2.46436e-17 , 9.16237e-18 ] cosTheta:[0.994412] ui:[ 3.71429 , 1.38095 ] sigma:[0.642642]
Point1: deltaX:[ 1.0592e-16 , 5.48512e-17 ] cosTheta:[0.971657] ui:[ 2.66667 , 1.38095 ] sigma:[0.673199]
Point2: deltaX:[ 3.88014e-16 , 6.4669e-17 ] cosTheta:[0.955102] ui:[ 2.72727 , 0.454545 ] sigma:[0.668994]
Point3: deltaX:[ 1.82429e-14 , 1.55601e-14 ] cosTheta:[0.896059] ui:[ 1.61905 , 1.38095 ] sigma:[0.693647]
Point4: deltaX:[ 9.98952e-18 , 2.05667e-18 ] cosTheta:[0.995324] ui:[ 1.61905 , 0.333333 ] sigma:[0.691152]
Point5: deltaX:[ 7.2875e-09 , -1.96959e-09 ] cosTheta:[0.693848] ui:[ 1.68182 , -0.454545 ] sigma:[0.751844]
Point6: deltaX:[ 8.35111e-07 , 1.39185e-06 ] cosTheta:[0.584364] ui:[ 0.714286 , 1.19048 ] sigma:[0.760367]
Point7: deltaX:[ 2.23015e-17 , 1.30092e-17 ] cosTheta:[0.971883] ui:[ 0.571429 , 0.333333 ] sigma:[0.698523]
Point8: deltaX:[ 9.53004e-06 , -4.48472e-06 ] cosTheta:[0.532676] ui:[ 0.809524 , -0.380952 ] sigma:[0.702458]
Point9: deltaX:[ 1.04167 , -1.04167 ] cosTheta:[3.01458e-16] ui:[ 1.04167 , -1.04167 ] sigma:[0.763251]
Point10: deltaX:[ 0 , 1.2381 ] cosTheta:[0] ui:[ 0 , 1.2381 ] sigma:[0.757158]
Point11: deltaX:[ 0.00304419 , 0.0167431 ] cosTheta:[0.293392] ui:[ 0.0952381 , 0.52381 ] sigma:[0.652147]
Point12: deltaX:[ 0.238095 , -0.238095 ] cosTheta:[0] ui:[ 0.238095 , -0.238095 ] sigma:[0.615431]
Point13: deltaX:[ 0.708333 , -0.708333 ] cosTheta:[2.2166e-16] ui:[ 0.708333 , -0.708333 ] sigma:[0.698662]
Point14: deltaX:[ 1.04167 , -1.04167 ] cosTheta:[3.01458e-16] ui:[ 1.04167 , -1.04167 ] sigma:[0.763251]
Point15: deltaX:[ 0 , 1.2381 ] cosTheta:[0] ui:[ 0 , 1.2381 ] sigma:[0.757158]
Point16: deltaX:[ 0 , 0.590909 ] cosTheta:[0] ui:[ 0 , 0.590909 ] sigma:[0.649364]
Point17: deltaX:[ 0.0869565 , -0.0869565 ] cosTheta:[6.20677e-16] ui:[ 0.0869565 , -0.0869565 ] sigma:[0.545541]
Point18: deltaX:[ 0.238095 , -0.238095 ] cosTheta:[0] ui:[ 0.238095 , -0.238095 ] sigma:[0.615431]
Point19: deltaX:[ 0.708333 , -0.708333 ] cosTheta:[2.2166e-16] ui:[ 0.708333 , -0.708333 ] sigma:[0.698662]
Point20: deltaX:[ 1.04167 , -1.04167 ] cosTheta:[3.01458e-16] ui:[ 1.04167 , -1.04167 ] sigma:[0.763251]
Point21: deltaX:[ 0 , 1.2381 ] cosTheta:[0] ui:[ 0 , 1.2381 ] sigma:[0.757158]
Point22: deltaX:[ 0 , 0.590909 ] cosTheta:[0] ui:[ 0 , 0.590909 ] sigma:[0.649364]
Point23: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point24: deltaX:[ 0.0869565 , -0.0869565 ] cosTheta:[6.20677e-16] ui:[ 0.0869565 , -0.0869565 ] sigma:[0.545541]
Point25: deltaX:[ 0.238095 , -0.238095 ] cosTheta:[0] ui:[ 0.238095 , -0.238095 ] sigma:[0.615431]
Point26: deltaX:[ 0.708333 , -0.708333 ] cosTheta:[2.2166e-16] ui:[ 0.708333 , -0.708333 ] sigma:[0.698662]
Point27: deltaX:[ 1.04167 , -1.04167 ] cosTheta:[3.01458e-16] ui:[ 1.04167 , -1.04167 ] sigma:[0.763251]
Point28: deltaX:[ 0 , 1.2381 ] cosTheta:[0] ui:[ 0 , 1.2381 ] sigma:[0.757158]
Point29: deltaX:[ 0 , 0.590909 ] cosTheta:[0] ui:[ 0 , 0.590909 ] sigma:[0.649364]
Point30: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point31: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point32: deltaX:[ 0.0869565 , -0.0869565 ] cosTheta:[6.20677e-16] ui:[ 0.0869565 , -0.0869565 ] sigma:[0.545541]
