Point0: deltaX:[ 2.84794 , 0.711986 ] cosTheta:[6.46245e-17] ui:[ 1.66667 , 0.416667 ] sigma:[0.792297]
Point1: deltaX:[ 3.19618 , 0.71914 ] cosTheta:[0.0031427] ui:[ 1.6 , 0.36 ] sigma:[0.770933]
Point2: deltaX:[ 1.60391 , 0.267318 ] cosTheta:[0.0316961] ui:[ 1.125 , 0.1875 ] sigma:[0.745209]
Point3: deltaX:[ 2.04331 , 0 ] cosTheta:[0] ui:[ 1.05882 , 0 ] sigma:[0.762617]
Point4: deltaX:[ 2.04331 , 0 ] cosTheta:[0] ui:[ 1.05882 , 0 ] sigma:[0.762617]
Point5: deltaX:[ 2.04331 , 0 ] cosTheta:[0] ui:[ 1.05882 , 0 ] sigma:[0.762617]
Point6: deltaX:[ 2.04331 , 0 ] cosTheta:[0] ui:[ 1.05882 , 0 ] sigma:[0.762617]
Point7: deltaX:[ 2.04331 , 0 ] cosTheta:[0] ui:[ 1.05882 , 0 ] sigma:[0.762617]
Point8: deltaX:[ 2.04331 , 0 ] cosTheta:[0] ui:[ 1.05882 , 0 ] sigma:[0.762617]
Point9: deltaX:[ 2.04331 , 0 ] cosTheta:[0] ui:[ 1.05882 , 0 ] sigma:[0.762617]
Point10: deltaX:[ 2.04331 , 0 ] cosTheta:[0] ui:[ 1.05882 , 0 ] sigma:[0.762617]
Point11: deltaX:[ 2.04331 , 0 ] cosTheta:[0] ui:[ 1.05882 , 0 ] sigma:[0.762617]
Point12: deltaX:[ 2.04331 , 0 ] cosTheta:[0] ui:[ 1.05882 , 0 ] sigma:[0.762617]
Point13: deltaX:[ 2.04331 , 0 ] cosTheta:[0] ui:[ 1.05882 , 0 ] sigma:[0.762617]
Point14: deltaX:[ 2.04331 , 0 ] cosTheta:[0] ui:[ 1.05882 , 0 ] sigma:[0.762617]
Point15: deltaX:[ 2.04331 , 0 ] cosTheta:[0] ui:[ 1.05882 , 0 ] sigma:[0.762617]
Point16: deltaX:[ 1.60391 , -0.267318 ] cosTheta:[0.0316961] ui:[ 1.125 , -0.1875 ] sigma:[0.745209]
Point17: deltaX:[ 3.19618 , -0.71914 ] cosTheta:[0.0031427] ui:[ 1.6 , -0.36 ] sigma:[0.770933]
Point18: deltaX:[ 2.84794 , -0.711986 ] cosTheta:[6.46245e-17] ui:[ 1.66667 , -0.416667 ] sigma:[0.792297]
Point19: deltaX:[ 2.80987 , 0.936623 ] cosTheta:[1.6879e-16] ui:[ 1.56 , 0.52 ] sigma:[0.78869]
Point20: deltaX:[ 1.8429 , 0.75884 ] cosTheta:[0.000441879] ui:[ 1.0625 , 0.4375 ] sigma:[0.753256]
Point21: deltaX:[ 0.882231 , 0.330836 ] cosTheta:[0.0141155] ui:[ 0.888889 , 0.333333 ] sigma:[0.705442]
Point22: deltaX:[ 0.745738 , 0.149148 ] cosTheta:[0.0106905] ui:[ 0.75 , 0.15 ] sigma:[0.683803]
Point23: deltaX:[ 0.66164 , 0.09452 ] cosTheta:[0.0123031] ui:[ 0.666667 , 0.0952381 ] sigma:[0.657692]
Point24: deltaX:[ 0.590909 , 0 ] cosTheta:[0] ui:[ 0.590909 , 0 ] sigma:[0.649364]
Point25: deltaX:[ 0.590909 , 0 ] cosTheta:[0] ui:[ 0.590909 , 0 ] sigma:[0.649364]
Point26: deltaX:[ 0.590909 , 0 ] cosTheta:[0] ui:[ 0.590909 , 0 ] sigma:[0.649364]
Point27: deltaX:[ 0.590909 , 0 ] cosTheta:[0] ui:[ 0.590909 , 0 ] sigma:[0.649364]
Point28: deltaX:[ 0.590909 , 0 ] cosTheta:[0] ui:[ 0.590909 , 0 ] sigma:[0.649364]
Point29: deltaX:[ 0.590909 , 0 ] cosTheta:[0] ui:[ 0.590909 , 0 ] sigma:[0.649364]
Point30: deltaX:[ 0.590909 , 0 ] cosTheta:[0] ui:[ 0.590909 , 0 ] sigma:[0.649364]
Point31: deltaX:[ 0.590909 , 0 ] cosTheta:[0] ui:[ 0.590909 , 0 ] sigma:[0.649364]
