Point0: deltaX:[ 1.20218e-21 , -2.14676e-22 ] cosTheta:[0.999875] ui:[ 3.11111 , -0.555556 ] sigma:[0.766946]
Point1: deltaX:[ 9.27968e-22 , -2.57769e-22 ] cosTheta:[0.991605] ui:[ 2 , -0.555556 ] sigma:[0.8228]
Point2: deltaX:[ 3.0848e-12 , 1.5424e-12 ] cosTheta:[0.726454] ui:[ 0.888889 , 0.444444 ] sigma:[0.898844]
Point3: deltaX:[ 4.80482e-19 , -3.00301e-19 ] cosTheta:[0.917193] ui:[ 0.888889 , -0.555556 ] sigma:[0.847113]
Point4: deltaX:[ 2.69063e-08 , 1.79375e-08 ] cosTheta:[0.585704] ui:[ 0.428571 , 0.285714 ] sigma:[0.75448]
Point5: deltaX:[ 0 , -0.428572 ] cosTheta:[0] ui:[ 0 , -0.428571 ] sigma:[0.875]
Point6: deltaX:[ 1.04482 , 1.04482 ] cosTheta:[1.37383e-16] ui:[ 0.571429 , 0.571429 ] sigma:[0.7875]
Point7: deltaX:[ 1.4782e-09 , 1.4782e-09 ] cosTheta:[0.605126] ui:[ 0.111111 , 0.111111 ] sigma:[0.733519]
Point8: deltaX:[ 0 , -1.12569 ] cosTheta:[0] ui:[ 0 , -0.625 ] sigma:[0.755906]
Point9: deltaX:[ 1.08678 , 1.73885 ] cosTheta:[8.23784e-17] ui:[ 0.714286 , 1.14286 ] sigma:[0.798658]
Point10: deltaX:[ 0.333333 , 0.333333 ] cosTheta:[0] ui:[ 0.333333 , 0.333333 ] sigma:[0.625]
Point11: deltaX:[ 0 , -0.181818 ] cosTheta:[0] ui:[ 0 , -0.181818 ] sigma:[0.592308]
Point12: deltaX:[ 0 , -1.12569 ] cosTheta:[0] ui:[ 0 , -0.625 ] sigma:[0.755906]
Point13: deltaX:[ 0.349614 , 0.466152 ] cosTheta:[0.0374795] ui:[ 0.375 , 0.5 ] sigma:[0.692433]
Point14: deltaX:[ 0 , 0.181818 ] cosTheta:[0] ui:[ 0 , 0.181818 ] sigma:[0.592308]
Point15: deltaX:[ 0 , -0.181818 ] cosTheta:[0] ui:[ 0 , -0.181818 ] sigma:[0.592308]
Point16: deltaX:[ 0 , -1.12569 ] cosTheta:[0] ui:[ 0 , -0.625 ] sigma:[0.755906]
Point17: deltaX:[ 0.963896 , 2.04828 ] cosTheta:[0.00417059] ui:[ 0.533333 , 1.13333 ] sigma:[0.788362]
Point18: deltaX:[ 0.0763446 , 0.229034 ] cosTheta:[0.0734729] ui:[ 0.1 , 0.3 ] sigma:[0.629975]
Point19: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point20: deltaX:[ 0 , -0.181818 ] cosTheta:[0] ui:[ 0 , -0.181818 ] sigma:[0.592308]
Point21: deltaX:[ 0 , -1.12569 ] cosTheta:[0] ui:[ 0 , -0.625 ] sigma:[0.755906]
Point22: deltaX:[ 0.349614 , 0.466152 ] cosTheta:[0.0374795] ui:[ 0.375 , 0.5 ] sigma:[0.692433]
Point23: deltaX:[ 0 , 0.181818 ] cosTheta:[0] ui:[ 0 , 0.181818 ] sigma:[0.592308]
Point24: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point25: deltaX:[ 0 , -0.181818 ] cosTheta:[0] ui:[ 0 , -0.181818 ] sigma:[0.592308]
Point26: deltaX:[ 0 , -1.12569 ] cosTheta:[0] ui:[ 0 , -0.625 ] sigma:[0.755906]
Point27: deltaX:[ 1.04482 , 1.04482 ] cosTheta:[1.37383e-16] ui:[ 0.571429 , 0.571429 ] sigma:[0.7875]
Point28: deltaX:[ 0.0763446 , 0.229034 ] cosTheta:[0.0734729] ui:[ 0.1 , 0.3 ] sigma:[0.629975]
Point29: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point30: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point31: deltaX:[ 0 , -0.181818 ] cosTheta:[0] ui:[ 0 , -0.181818 ] sigma:[0.592308]
Point32: deltaX:[ 0 , -1.12569 ] cosTheta:[0] ui:[ 0 , -0.625 ] sigma:[0.755906]
Point33: deltaX:[ 1.08678 , 1.73885 ] cosTheta:[8.23784e-17] ui:[ 0.714286 , 1.14286 ] sigma:[0.798658]
Point34: deltaX:[ 0.333333 , 0.333333 ] cosTheta:[0] ui:[ 0.333333 , 0.333333 ] sigma:[0.625]
