16
Point0: deltaX:[ 7.48713e-22 , 2.94948e-22 ] cosTheta:[0.998888] ui:[ 3.47368 , 1.36842 ] sigma:[0.596126]
Point1: deltaX:[ 1.70567e-21 , 9.64075e-22 ] cosTheta:[0.98696] ui:[ 2.42105 , 1.36842 ] sigma:[0.631364]
Point2: deltaX:[ 2.56845e-18 , 5.13691e-19 ] cosTheta:[0.91016] ui:[ 2.5 , 0.5 ] sigma:[0.697642]
Point3: deltaX:[ 1.13169e-14 , 1.02391e-14 ] cosTheta:[0.804037] ui:[ 1.23529 , 1.11765 ] sigma:[0.712048]
Point4: deltaX:[ 1.53331e-21 , 4.12815e-22 ] cosTheta:[0.982248] ui:[ 1.36842 , 0.368421 ] sigma:[0.694289]
Point5: deltaX:[ 5.31658e-08 , -1.8333e-08 ] cosTheta:[0.585174] ui:[ 1.45 , -0.5 ] sigma:[0.746693]
Point6: deltaX:[ 0.020552 , 0.164416 ] cosTheta:[0.190019] ui:[ 0.125 , 1 ] sigma:[0.759894]
Point7: deltaX:[ 2.55729e-21 , 1.59831e-21 ] cosTheta:[0.966039] ui:[ 0.470588 , 0.294118 ] sigma:[0.680808]
Point8: deltaX:[ 0.0187945 , -0.0136687 ] cosTheta:[0.261826] ui:[ 0.578947 , -0.421053 ] sigma:[0.695863]
Point9: deltaX:[ 0.8125 , -0.8125 ] cosTheta:[0] ui:[ 0.8125 , -0.8125 ] sigma:[0.773626]
Point10: deltaX:[ 0 , 1.05882 ] cosTheta:[0] ui:[ 0 , 1.05882 ] sigma:[0.762617]
Point11: deltaX:[ 0.00128718 , 0.00707947 ] cosTheta:[0.293392] ui:[ 0.0952381 , 0.52381 ] sigma:[0.652147]
Point12: deltaX:[ 0.000165481 , -0.000103426 ] cosTheta:[0.392302] ui:[ 0.363636 , -0.227273 ] sigma:[0.620317]
Point13: deltaX:[ 0.55 , -0.55 ] cosTheta:[1.42736e-16] ui:[ 0.55 , -0.55 ] sigma:[0.693196]
Point14: deltaX:[ 0.8125 , -0.8125 ] cosTheta:[0] ui:[ 0.8125 , -0.8125 ] sigma:[0.773626]
Point15: deltaX:[ 0 , 1.05882 ] cosTheta:[0] ui:[ 0 , 1.05882 ] sigma:[0.762617]
Point16: deltaX:[ 0 , 0.590909 ] cosTheta:[0] ui:[ 0 , 0.590909 ] sigma:[0.649364]
Point17: deltaX:[ 2.49012e-23 , 1.24506e-23 ] cosTheta:[0.994808] ui:[ 0.0769231 , 0.0384615 ] sigma:[0.549884]
