iter:1   sigmaHat = 0.0952756
iter:2   sigmaHat = 0.0990133
iter:3   sigmaHat = 0.103291
iter:4   sigmaHat = 0.108337
iter:5   sigmaHat = 0.114247
iter:6   sigmaHat = 0.120494
iter:7   sigmaHat = 0.127531
iter:8   sigmaHat = 0.134852
iter:9   sigmaHat = 0.14306
iter:10   sigmaHat = 0.151703
Point0: deltaX:[ 7.55575e-28 , -1.21432e-28 ] cosTheta:[0.650537] ui:[ 2.8 , -0.45 ] sigma:[0.894578]
Point1: deltaX:[ 7.97674e-58 , -5.66092e-58 ] cosTheta:[0.939333] ui:[ 2.21429 , -1.57143 ] sigma:[0.726925]
Point2: deltaX:[ 4.29588e-51 , -1.87945e-51 ] cosTheta:[0.881736] ui:[ 1.14286 , -0.5 ] sigma:[0.750817]
Point3: deltaX:[ 2.78824e-58 , -4.46119e-58 ] cosTheta:[0.937858] ui:[ 0.555556 , -0.888889 ] sigma:[0.638196]
Point4: deltaX:[ 8.12281e-48 , -1.85664e-47 ] cosTheta:[0.850695] ui:[ 1.07692 , -2.46154 ] sigma:[0.722877]
Point5: deltaX:[ 0.0717577 , 0.0382708 ] cosTheta:[0.126441] ui:[ 0.789474 , 0.421053 ] sigma:[0.857035]
Point6: deltaX:[ 9.73964e-37 , -2.16436e-37 ] cosTheta:[0.740404] ui:[ 0.5 , -0.111111 ] sigma:[0.837626]
Point7: deltaX:[ 0 , -9.94442e-32 ] cosTheta:[0.685047] ui:[ 0 , -0.307692 ] sigma:[0.734255]
Point8: deltaX:[ 0 , -2.90258e-28 ] cosTheta:[0.653981] ui:[ 0 , -1.38462 ] sigma:[0.746032]
Point9: deltaX:[ 0.00604177 , 0.00192238 ] cosTheta:[0.187184] ui:[ 1.15789 , 0.368421 ] sigma:[0.887424]
Point10: deltaX:[ 0.00133087 , 0.000554528 ] cosTheta:[0.201037] ui:[ 0.571429 , 0.238095 ] sigma:[0.8547]
Point11: deltaX:[ 0.000128607 , 4.2869e-05 ] cosTheta:[0.224884] ui:[ 0.214286 , 0.0714286 ] sigma:[0.811446]
Point12: deltaX:[ -0.176513 , -0.11032 ] cosTheta:[0.0761312] ui:[ -0.421053 , -0.263158 ] sigma:[0.858713]
Point13: deltaX:[ -2.64791e-08 , -4.09222e-08 ] cosTheta:[0.336921] ui:[ -0.647059 , -1 ] sigma:[0.829023]
Point14: deltaX:[ 0.200493 , 0.154926 ] cosTheta:[0.108123] ui:[ 1.15789 , 0.894737 ] sigma:[0.873054]
Point15: deltaX:[ 0.000248021 , 9.3008e-05 ] cosTheta:[0.232075] ui:[ 0.8 , 0.3 ] sigma:[0.873549]
Point16: deltaX:[ 1.3299e-24 , 0 ] cosTheta:[0.601024] ui:[ 0.333333 , 0 ] sigma:[0.804157]
Point17: deltaX:[ -1.37335e-31 , -4.12005e-31 ] cosTheta:[0.676582] ui:[ -0.0625 , -0.1875 ] sigma:[0.80089]
Point18: deltaX:[ -1.96492e-09 , -2.40157e-09 ] cosTheta:[0.35823] ui:[ -0.45 , -0.55 ] sigma:[0.877263]
Point19: deltaX:[ -3.11981e-05 , -4.07975e-05 ] cosTheta:[0.265691] ui:[ -1.2381 , -1.61905 ] sigma:[0.895539]
Point20: deltaX:[ 0.132963 , 0.111969 ] cosTheta:[0.113066] ui:[ 0.904762 , 0.761905 ] sigma:[0.87325]
Point21: deltaX:[ 2.78498e-06 , 3.24914e-06 ] cosTheta:[0.285818] ui:[ 0.375 , 0.4375 ] sigma:[0.797463]
Point22: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point23: deltaX:[ -2.78498e-06 , -3.24914e-06 ] cosTheta:[0.285818] ui:[ -0.375 , -0.4375 ] sigma:[0.797463]
Point24: deltaX:[ -0.020574 , -0.015733 ] cosTheta:[0.15647] ui:[ -0.809524 , -0.619048 ] sigma:[0.87428]
Point25: deltaX:[ 0.701242 , 0.536244 ] cosTheta:[0.0254396] ui:[ 0.772727 , 0.590909 ] sigma:[0.866861]
Point26: deltaX:[ 3.06013e-12 , 6.12027e-12 ] cosTheta:[0.408926] ui:[ 0.1875 , 0.375 ] sigma:[0.807208]
Point27: deltaX:[ -4.0977e-11 , -1.3659e-11 ] cosTheta:[0.388095] ui:[ -0.1875 , -0.0625 ] sigma:[0.80212]
Point28: deltaX:[ -0.0775825 , -0.0443329 ] cosTheta:[0.119748] ui:[ -0.666667 , -0.380952 ] sigma:[0.870726]
Point29: deltaX:[ -0.0173519 , -0.0173519 ] cosTheta:[0.164399] ui:[ -1 , -1 ] sigma:[0.87]
Point30: deltaX:[ 0.284206 , 0.259493 ] cosTheta:[0.0948407] ui:[ 1.09524 , 1 ] sigma:[0.850901]
Point31: deltaX:[ 0.000299612 , 0.000140994 ] cosTheta:[0.228841] ui:[ 0.772727 , 0.363636 ] sigma:[0.855506]
Point32: deltaX:[ 4.0977e-11 , 1.3659e-11 ] cosTheta:[0.388095] ui:[ 0.1875 , 0.0625 ] sigma:[0.80212]
Point33: deltaX:[ -3.06013e-12 , -6.12027e-12 ] cosTheta:[0.408926] ui:[ -0.1875 , -0.375 ] sigma:[0.807208]
Point34: deltaX:[ -0.701242 , -0.536244 ] cosTheta:[0.0254396] ui:[ -0.772727 , -0.590909 ] sigma:[0.866861]
