iter:1   sigmaHat = 0.516428
iter:2   sigmaHat = 0.515832
iter:3   sigmaHat = 0.51721
iter:4   sigmaHat = 0.519243
iter:5   sigmaHat = 0.521316
iter:6   sigmaHat = 0.523661
iter:7   sigmaHat = 0.526304
iter:8   sigmaHat = 0.529029
iter:9   sigmaHat = 0.532247
iter:10   sigmaHat = 0.535975
iter:11   sigmaHat = 0.539842
iter:12   sigmaHat = 0.543637
iter:13   sigmaHat = 0.547959
iter:14   sigmaHat = 0.552602
iter:15   sigmaHat = 0.55792
iter:16   sigmaHat = 0.563845
iter:17   sigmaHat = 0.57048
iter:18   sigmaHat = 0.577635
iter:19   sigmaHat = 0.585432
iter:20   sigmaHat = 0.593662
iter:21   sigmaHat = 0.604438
iter:22   sigmaHat = 0.615738
iter:23   sigmaHat = 0.629256
iter:24   sigmaHat = 0.645276
iter:25   sigmaHat = 0.660858
iter:26   sigmaHat = 0.678495
iter:27   sigmaHat = 0.695543
iter:28   sigmaHat = 0.714779
iter:29   sigmaHat = 0.735347
iter:30   sigmaHat = 0.757296
iter:31   sigmaHat = 0.783003
iter:32   sigmaHat = 0.808761
iter:33   sigmaHat = 0.828766
iter:34   sigmaHat = 0.842217
iter:35   sigmaHat = 0.849438
iter:36   sigmaHat = 0.853499
iter:37   sigmaHat = 0.854648
iter:38   sigmaHat = 0.854713
iter:39   sigmaHat = 0.854713
iter:40   sigmaHat = 0.854713
iter:41   sigmaHat = 0.854713
iter:42   sigmaHat = 0.854713
iter:43   sigmaHat = 0.854713
iter:44   sigmaHat = 0.854713
Point0:[ 3.98423e-17 , 0 ]cosTheta:0.507494
Point1:[ 5.67432e-42 , -4.09812e-42 ]cosTheta:0.797768
Point2:[ 0.0942027 , 0.0753622 ]cosTheta:0.132747
Point3:[ 2.65099e-48 , -7.22996e-49 ]cosTheta:0.85394
Point4:[ 4.94854e-57 , -9.89709e-57 ]cosTheta:0.9272
Point5:[ 3.72226e-14 , -1.07015e-13 ]cosTheta:0.45172
Point6:[ 0.364173 , 0.234111 ]cosTheta:0.0660122
Point7:[ 0.367763 , 0.367763 ]cosTheta:0
Point8:[ -3.19358e-19 , -1.59679e-18 ]cosTheta:0.516132
Point9:[ -2.65887e-25 , -5.31775e-24 ]cosTheta:0.600144
Point10:[ 0.259678 , 0.129839 ]cosTheta:0.0948091
Point11:[ 0.0947251 , 0.0789376 ]cosTheta:0.100322
Point12:[ 8.46005e-16 , 1.69201e-15 ]cosTheta:0.464655
Point13:[ -0.00108297 , -0.000541487 ]cosTheta:0.21244
Point14:[ -0.0942027 , -0.0753622 ]cosTheta:0.132747
Point15:[ 0.200493 , 0.154926 ]cosTheta:0.108123
Point16:[ 0.619917 , 0.338137 ]cosTheta:0.0569417
Point17:[ 1.3299e-24 , 0 ]cosTheta:0.601024
Point18:[ -1.37335e-31 , -4.12005e-31 ]cosTheta:0.676582
Point19:[ -0.0330861 , -0.0275718 ]cosTheta:0.137817
Point20:[ -0.00135286 , -0.00163276 ]cosTheta:0.214193
Point21:[ 0.00341018 , 0.00381138 ]cosTheta:0.191807
Point22:[ 2.78498e-06 , 3.24914e-06 ]cosTheta:0.285818
Point23:[ 0 , 0 ]cosTheta:1
Point24:[ -2.78498e-06 , -3.24914e-06 ]cosTheta:0.285818
Point25:[ -0.020574 , -0.015733 ]cosTheta:0.15647
Point26:[ 0.00445349 , 0.00572591 ]cosTheta:0.183619
Point27:[ 3.06013e-12 , 6.12027e-12 ]cosTheta:0.408926
Point28:[ -4.0977e-11 , -1.3659e-11 ]cosTheta:0.388095
Point29:[ -0.0272819 , -0.0242506 ]cosTheta:0.153568
Point30:[ -0.0173519 , -0.0173519 ]cosTheta:0.164399
Point31:[ 0.736842 , 0.736842 ]cosTheta:0
Point32:[ 0.201492 , 0.201492 ]cosTheta:9.81308e-17
Point33:[ -0.201492 , -0.201492 ]cosTheta:0
Point34:[ -0.00303771 , -0.0016082 ]cosTheta:0.192965
Point35:[ 0.736842 , 0.736842 ]cosTheta:0
Point36:[ 0.201492 , 0.201492 ]cosTheta:9.81308e-17
Point37:[ -0.201492 , -0.201492 ]cosTheta:9.81308e-17
Point38:[ -0.117629 , -0.0808701 ]cosTheta:0.113051
Point39:[ 0.736842 , 0.736842 ]cosTheta:0
Point40:[ 0.201492 , 0.201492 ]cosTheta:9.81308e-17
Point41:[ -0.201492 , -0.201492 ]cosTheta:9.81308e-17
Point42:[ -0.736842 , -0.736842 ]cosTheta:0
Point43:[ 0.736842 , 0.736842 ]cosTheta:0
Point44:[ 0.201492 , 0.201492 ]cosTheta:9.81308e-17
Point45:[ -0.201492 , -0.201492 ]cosTheta:9.81308e-17
Point46:[ -0.736842 , -0.736842 ]cosTheta:0
Point47:[ 0.736842 , 0.736842 ]cosTheta:0
Point48:[ 0.201492 , 0.201492 ]cosTheta:9.81308e-17
Point49:[ -0.201492 , -0.201492 ]cosTheta:9.81308e-17
Point50:[ -0.736842 , -0.736842 ]cosTheta:0
Point51:[ 0.00572591 , 0.00445349 ]cosTheta:0.183619
Point52:[ 0.201492 , 0.201492 ]cosTheta:9.81308e-17
Point53:[ -0.201492 , -0.201492 ]cosTheta:9.81308e-17
Point54:[ -0.736842 , -0.736842 ]cosTheta:0
Point55:[ 8.8011e-05 , 6.2865e-05 ]cosTheta:0.249507
Point56:[ 6.12027e-12 , 3.06013e-12 ]cosTheta:0.408926
Point57:[ -0.201492 , -0.201492 ]cosTheta:9.81308e-17
Point58:[ -0.0808701 , -0.117629 ]cosTheta:0.113051
Point59:[ 0.00465274 , 0.00420962 ]cosTheta:0.189217
Point60:[ 2.62361e-13 , 1.3118e-13 ]cosTheta:0.438954
Point61:[ -1.3659e-11 , -4.0977e-11 ]cosTheta:0.388095
Point62:[ -0.0016082 , -0.00303771 ]cosTheta:0.192965
Point63:[ 0.259493 , 0.284206 ]cosTheta:0.0948407
Point64:[ 0.00366943 , 0.00366943 ]cosTheta:0.191799
Point65:[ 0 , -1.18152e-29 ]cosTheta:0.659087
Point66:[ -0.45539 , -0.683085 ]cosTheta:0.0694607
Point67:[ 0.45539 , 0.683085 ]cosTheta:0.0694607
Point68:[ 2.40012e-10 , 1.60008e-10 ]cosTheta:0.373786
Point69:[ -0.00366943 , -0.00366943 ]cosTheta:0.191799
Point70:[ -0.558834 , -0.776159 ]cosTheta:0.0504235
Point71:[ 0.216627 , 0.297862 ]cosTheta:0.0882046
Point72:[ 2.44634e-11 , 1.6309e-11 ]cosTheta:0.399729
Point73:[ -2.44634e-11 , -1.6309e-11 ]cosTheta:0.399729
Point74:[ -0.216627 , -0.297862 ]cosTheta:0.0882046
Point75:[ 0.558834 , 0.776159 ]cosTheta:0.0504235
Point76:[ 0.00366943 , 0.00366943 ]cosTheta:0.191799
Point77:[ -2.40012e-10 , -1.60008e-10 ]cosTheta:0.373786
Point78:[ -0.45539 , -0.683085 ]cosTheta:0.0694607
Point79:[ 0.45539 , 0.683085 ]cosTheta:0.0694607
Point80:[ 2.40012e-10 , 1.60008e-10 ]cosTheta:0.373786
Point81:[ -0.00366943 , -0.00366943 ]cosTheta:0.191799
Point82:[ -0.558834 , -0.776159 ]cosTheta:0.0504235
Point83:[ 0.216627 , 0.297862 ]cosTheta:0.0882046
Point84:[ 2.44634e-11 , 1.6309e-11 ]cosTheta:0.399729
Point85:[ -2.44634e-11 , -1.6309e-11 ]cosTheta:0.399729
Point86:[ -0.216627 , -0.297862 ]cosTheta:0.0882046
Point87:[ 0.558834 , 0.776159 ]cosTheta:0.0504235
Point88:[ 0.00366943 , 0.00366943 ]cosTheta:0.191799
Point89:[ -2.40012e-10 , -1.60008e-10 ]cosTheta:0.373786
Point90:[ -0.45539 , -0.683085 ]cosTheta:0.0694607
Point91:[ 0.45539 , 0.683085 ]cosTheta:0.0694607
